Used_Python,Age_range,Country,lat,lon
Yes,60 or older,Italy,41.87194,12.56738
Yes,40-49,United Kingdom,55.378051,-3.435973
Yes,40-49,France,46.227638,2.213749
Yes,18-20,Israel,31.046051,34.851612
Yes,21-29,Germany,51.165691,10.451526
Yes,18-20,United States,37.09024,-95.712891
Yes,30-39,France,46.227638,2.213749
Yes,21-29,United States,37.09024,-95.712891
Yes,21-29,Germany,51.165691,10.451526
Yes,18-20,United States,37.09024,-95.712891
Yes,40-49,Argentina,-38.416097,-63.616672
Yes,21-29,France,46.227638,2.213749
Yes,60 or older,Romania,45.943161,24.96676
Yes,40-49,Bolivia,-16.290154,-63.588653
Yes,30-39,United Kingdom,55.378051,-3.435973
Yes,21-29,United States,37.09024,-95.712891
Yes,18-20,United States,37.09024,-95.712891
Yes,21-29,Czech Republic,49.817492,15.472962
Yes,17 or younger,United Kingdom,55.378051,-3.435973
Yes,18-20,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,21-29,Germany,51.165691,10.451526
Yes,17 or younger,United Kingdom,55.378051,-3.435973
Yes,17 or younger,United Kingdom,55.378051,-3.435973
Yes,30-39,Slovenia,46.151241,14.995463
Yes,21-29,Switzerland,46.818188,8.227512
Yes,50-59,India,20.593684,78.96288
Yes,30-39,Czech Republic,49.817492,15.472962
Yes,40-49,Croatia,45.1,15.2
Yes,40-49,Switzerland,46.818188,8.227512
Yes,30-39,United States,37.09024,-95.712891
Yes,40-49,South Africa,-30.559482,22.937506
Yes,30-39,United Kingdom,55.378051,-3.435973
Yes,21-29,United States,37.09024,-95.712891
Yes,21-29,France,46.227638,2.213749
Yes,30-39,Brazil,-14.235004,-51.92528
Yes,21-29,Costa Rica,9.748917,-83.753428
Yes,30-39,Spain,40.463667,-3.74922
Yes,30-39,Mexico,23.634501,-102.552784
Yes,60 or older,United States,37.09024,-95.712891
Yes,40-49,United States,37.09024,-95.712891
Yes,30-39,Romania,45.943161,24.96676
Yes,60 or older,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,France,46.227638,2.213749
Yes,50-59,United Kingdom,55.378051,-3.435973
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,India,20.593684,78.96288
Yes,30-39,Mexico,23.634501,-102.552784
Yes,30-39,Brazil,-14.235004,-51.92528
Yes,21-29,United States,37.09024,-95.712891
Yes,50-59,United States,37.09024,-95.712891
Yes,21-29,Brazil,-14.235004,-51.92528
Yes,21-29,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,21-29,India,20.593684,78.96288
Yes,21-29,Germany,51.165691,10.451526
Yes,21-29,Nigeria,9.081999,8.675277
Yes,21-29,United States,37.09024,-95.712891
Yes,30-39,Canada,56.130366,-106.346771
Yes,21-29,United States,37.09024,-95.712891
Yes,21-29,United States,37.09024,-95.712891
Yes,40-49,France,46.227638,2.213749
Yes,40-49,United Kingdom,55.378051,-3.435973
Yes,18-20,United Kingdom,55.378051,-3.435973
Yes,30-39,Australia,-25.274398,133.775136
Yes,60 or older,United Kingdom,55.378051,-3.435973
Yes,21-29,United States,37.09024,-95.712891
Yes,21-29,India,20.593684,78.96288
Yes,40-49,United States,37.09024,-95.712891
Yes,21-29,United Kingdom,55.378051,-3.435973
Yes,40-49,United States,37.09024,-95.712891
Yes,40-49,United States,37.09024,-95.712891
Yes,21-29,Uzbekistan,41.377491,64.585262
Yes,17 or younger,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,India,20.593684,78.96288
Yes,17 or younger,India,20.593684,78.96288
Yes,30-39,Finland,61.92411,25.748151
Yes,21-29,Brazil,-14.235004,-51.92528
Yes,21-29,Turkey,38.963745,35.243322
Yes,30-39,Serbia,44.016521,21.005859
Yes,21-29,India,20.593684,78.96288
Yes,21-29,United States,37.09024,-95.712891
Yes,21-29,Germany,51.165691,10.451526
Yes,21-29,United States,37.09024,-95.712891
Yes,30-39,France,46.227638,2.213749
Yes,30-39,Canada,56.130366,-106.346771
Yes,21-29,United States,37.09024,-95.712891
Yes,21-29,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,40-49,Belgium,50.503887,4.469936
Yes,17 or younger,Sudan,12.862807,30.217636
Yes,30-39,Japan,36.204824,138.252924
Yes,30-39,United States,37.09024,-95.712891
Yes,21-29,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,21-29,United States,37.09024,-95.712891
Yes,40-49,Romania,45.943161,24.96676
Yes,21-29,Mexico,23.634501,-102.552784
Yes,21-29,India,20.593684,78.96288
Yes,21-29,United States,37.09024,-95.712891
Yes,50-59,France,46.227638,2.213749
Yes,30-39,United States,37.09024,-95.712891
Yes,21-29,Japan,36.204824,138.252924
Yes,21-29,Dominican Republic,18.735693,-70.162651
Yes,21-29,Brazil,-14.235004,-51.92528
Yes,30-39,Portugal,39.399872,-8.224454
Yes,21-29,United States,37.09024,-95.712891
Yes,21-29,United States,37.09024,-95.712891
Yes,21-29,United States,37.09024,-95.712891
Yes,21-29,Brazil,-14.235004,-51.92528
Yes,30-39,United States,37.09024,-95.712891
Yes,21-29,India,20.593684,78.96288
Yes,30-39,Poland,51.919438,19.145136
Yes,21-29,Greece,39.074208,21.824312
Yes,21-29,United States,37.09024,-95.712891
Yes,30-39,Belgium,50.503887,4.469936
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,Spain,40.463667,-3.74922
Yes,21-29,United States,37.09024,-95.712891
Yes,21-29,United States,37.09024,-95.712891
Yes,40-49,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,40-49,Canada,56.130366,-106.346771
Yes,50-59,Germany,51.165691,10.451526
Yes,21-29,Indonesia,-0.789275,113.921327
Yes,21-29,Norway,60.472024,8.468946
Yes,21-29,Russia,61.52401,105.318756
Yes,21-29,Turkey,38.963745,35.243322
Yes,17 or younger,United Kingdom,55.378051,-3.435973
Yes,30-39,Sweden,60.128161,18.643501
Yes,60 or older,United States,37.09024,-95.712891
Yes,21-29,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,Spain,40.463667,-3.74922
Yes,30-39,South Africa,-30.559482,22.937506
Yes,21-29,United States,37.09024,-95.712891
Yes,18-20,United States,37.09024,-95.712891
Yes,21-29,France,46.227638,2.213749
Yes,30-39,Spain,40.463667,-3.74922
Yes,21-29,Germany,51.165691,10.451526
Yes,21-29,United States,37.09024,-95.712891
Yes,30-39,Denmark,56.26392,9.501785
Yes,30-39,Switzerland,46.818188,8.227512
Yes,40-49,Denmark,56.26392,9.501785
Yes,40-49,Belgium,50.503887,4.469936
Yes,21-29,Argentina,-38.416097,-63.616672
Yes,30-39,Argentina,-38.416097,-63.616672
Yes,40-49,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,60 or older,United States,37.09024,-95.712891
Yes,30-39,Poland,51.919438,19.145136
Yes,40-49,United States,37.09024,-95.712891
Yes,21-29,Mexico,23.634501,-102.552784
Yes,30-39,Germany,51.165691,10.451526
Yes,40-49,Brazil,-14.235004,-51.92528
Yes,21-29,Switzerland,46.818188,8.227512
Yes,30-39,Croatia,45.1,15.2
Yes,30-39,France,46.227638,2.213749
Yes,21-29,United States,37.09024,-95.712891
Yes,17 or younger,United Kingdom,55.378051,-3.435973
Yes,21-29,Argentina,-38.416097,-63.616672
Yes,30-39,Kazakhstan,48.019573,66.923684
Yes,30-39,United States,37.09024,-95.712891
Yes,21-29,India,20.593684,78.96288
Yes,30-39,Brazil,-14.235004,-51.92528
Yes,21-29,United States,37.09024,-95.712891
Yes,30-39,Colombia,4.570868,-74.297333
Yes,30-39,United States,37.09024,-95.712891
Yes,50-59,United States,37.09024,-95.712891
Yes,30-39,Austria,47.516231,14.550072
Yes,30-39,Netherlands,52.132633,5.291266
Yes,17 or younger,Netherlands,52.132633,5.291266
Yes,30-39,Canada,56.130366,-106.346771
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,Brazil,-14.235004,-51.92528
Yes,50-59,Netherlands,52.132633,5.291266
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,Italy,41.87194,12.56738
Yes,50-59,United States,37.09024,-95.712891
Yes,30-39,Germany,51.165691,10.451526
Yes,21-29,United States,37.09024,-95.712891
Yes,30-39,Germany,51.165691,10.451526
Yes,21-29,Russia,61.52401,105.318756
Yes,30-39,Russia,61.52401,105.318756
Yes,30-39,Brazil,-14.235004,-51.92528
Yes,40-49,France,46.227638,2.213749
Yes,30-39,Belgium,50.503887,4.469936
Yes,30-39,United Kingdom,55.378051,-3.435973
Yes,17 or younger,Canada,56.130366,-106.346771
Yes,30-39,Serbia,44.016521,21.005859
Yes,21-29,Egypt,26.820553,30.802498
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,21-29,United States,37.09024,-95.712891
Yes,40-49,Denmark,56.26392,9.501785
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,Belgium,50.503887,4.469936
Yes,18-20,United States,37.09024,-95.712891
Yes,30-39,United Kingdom,55.378051,-3.435973
Yes,30-39,United States,37.09024,-95.712891
Yes,21-29,Nigeria,9.081999,8.675277
Yes,21-29,Poland,51.919438,19.145136
Yes,40-49,New Zealand,-40.900557,174.885971
Yes,30-39,United States,37.09024,-95.712891
Yes,21-29,Argentina,-38.416097,-63.616672
Yes,30-39,Latvia,56.879635,24.603189
Yes,40-49,Finland,61.92411,25.748151
Yes,30-39,Greece,39.074208,21.824312
Yes,50-59,United States,37.09024,-95.712891
Yes,21-29,Australia,-25.274398,133.775136
Yes,30-39,Italy,41.87194,12.56738
Yes,21-29,Bangladesh,23.684994,90.356331
Yes,40-49,France,46.227638,2.213749
Yes,30-39,Morocco,31.791702,-7.09262
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,21-29,Turkey,38.963745,35.243322
Yes,21-29,Russia,61.52401,105.318756
Yes,21-29,Moldova,47.411631,28.369885
Yes,30-39,United States,37.09024,-95.712891
Yes,21-29,United States,37.09024,-95.712891
Yes,40-49,United States,37.09024,-95.712891
Yes,21-29,France,46.227638,2.213749
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,Canada,56.130366,-106.346771
Yes,18-20,United States,37.09024,-95.712891
Yes,40-49,United States,37.09024,-95.712891
Yes,18-20,Poland,51.919438,19.145136
Yes,40-49,United States,37.09024,-95.712891
Yes,21-29,Armenia,40.069099,45.038189
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,Czech Republic,49.817492,15.472962
Yes,40-49,United States,37.09024,-95.712891
Yes,60 or older,United States,37.09024,-95.712891
Yes,40-49,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,Chile,-35.675147,-71.542969
Yes,30-39,Greece,39.074208,21.824312
Yes,21-29,France,46.227638,2.213749
Yes,40-49,France,46.227638,2.213749
Yes,30-39,Brazil,-14.235004,-51.92528
Yes,21-29,United States,37.09024,-95.712891
Yes,18-20,India,20.593684,78.96288
Yes,50-59,United States,37.09024,-95.712891
Yes,21-29,United States,37.09024,-95.712891
Yes,21-29,Sweden,60.128161,18.643501
Yes,30-39,Brazil,-14.235004,-51.92528
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,United Kingdom,55.378051,-3.435973
Yes,21-29,Brazil,-14.235004,-51.92528
Yes,30-39,United States,37.09024,-95.712891
Yes,21-29,United States,37.09024,-95.712891
Yes,50-59,Poland,51.919438,19.145136
Yes,30-39,United Kingdom,55.378051,-3.435973
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,60 or older,United States,37.09024,-95.712891
Yes,21-29,United States,37.09024,-95.712891
Yes,30-39,Israel,31.046051,34.851612
Yes,40-49,United States,37.09024,-95.712891
Yes,30-39,United Kingdom,55.378051,-3.435973
Yes,30-39,United States,37.09024,-95.712891
Yes,21-29,United States,37.09024,-95.712891
Yes,50-59,United States,37.09024,-95.712891
Yes,60 or older,United States,37.09024,-95.712891
Yes,30-39,Switzerland,46.818188,8.227512
Yes,50-59,United States,37.09024,-95.712891
Yes,30-39,Germany,51.165691,10.451526
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,Hungary,47.162494,19.503304
Yes,40-49,United Kingdom,55.378051,-3.435973
Yes,21-29,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,21-29,Poland,51.919438,19.145136
Yes,21-29,Ireland,53.41291,-8.24389
Yes,30-39,France,46.227638,2.213749
Yes,40-49,United States,37.09024,-95.712891
Yes,18-20,Nigeria,9.081999,8.675277
Yes,30-39,Canada,56.130366,-106.346771
Yes,21-29,United States,37.09024,-95.712891
Yes,40-49,Germany,51.165691,10.451526
Yes,21-29,France,46.227638,2.213749
Yes,21-29,Canada,56.130366,-106.346771
Yes,21-29,United States,37.09024,-95.712891
Yes,30-39,United Kingdom,55.378051,-3.435973
Yes,21-29,United States,37.09024,-95.712891
Yes,21-29,Poland,51.919438,19.145136
Yes,40-49,New Zealand,-40.900557,174.885971
Yes,21-29,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,40-49,United States,37.09024,-95.712891
Yes,50-59,United States,37.09024,-95.712891
Yes,21-29,Canada,56.130366,-106.346771
Yes,21-29,Germany,51.165691,10.451526
Yes,30-39,United States,37.09024,-95.712891
Yes,40-49,Russia,61.52401,105.318756
Yes,30-39,United Kingdom,55.378051,-3.435973
Yes,50-59,Australia,-25.274398,133.775136
Yes,50-59,United States,37.09024,-95.712891
Yes,30-39,Australia,-25.274398,133.775136
Yes,30-39,Ukraine,48.379433,31.16558
Yes,40-49,Brazil,-14.235004,-51.92528
Yes,40-49,Austria,47.516231,14.550072
Yes,30-39,Brazil,-14.235004,-51.92528
Yes,21-29,Poland,51.919438,19.145136
Yes,17 or younger,Pakistan,30.375321,69.345116
Yes,50-59,Switzerland,46.818188,8.227512
Yes,30-39,Bulgaria,42.733883,25.48583
Yes,30-39,Australia,-25.274398,133.775136
Yes,18-20,France,46.227638,2.213749
Yes,30-39,Canada,56.130366,-106.346771
Yes,40-49,United States,37.09024,-95.712891
Yes,30-39,Nepal,28.394857,84.124008
Yes,21-29,United States,37.09024,-95.712891
Yes,21-29,Canada,56.130366,-106.346771
Yes,40-49,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,Germany,51.165691,10.451526
Yes,40-49,Portugal,39.399872,-8.224454
Yes,40-49,Netherlands,52.132633,5.291266
Yes,30-39,India,20.593684,78.96288
Yes,40-49,United States,37.09024,-95.712891
Yes,21-29,Germany,51.165691,10.451526
Yes,21-29,United States,37.09024,-95.712891
Yes,60 or older,United States,37.09024,-95.712891
Yes,30-39,United Kingdom,55.378051,-3.435973
Yes,40-49,Australia,-25.274398,133.775136
Yes,21-29,South Africa,-30.559482,22.937506
Yes,30-39,Brazil,-14.235004,-51.92528
Yes,21-29,Kenya,-0.023559,37.906193
Yes,30-39,United States,37.09024,-95.712891
Yes,21-29,Australia,-25.274398,133.775136
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,United Kingdom,55.378051,-3.435973
Yes,40-49,United States,37.09024,-95.712891
Yes,50-59,Australia,-25.274398,133.775136
Yes,40-49,Australia,-25.274398,133.775136
Yes,21-29,Spain,40.463667,-3.74922
Yes,30-39,United Kingdom,55.378051,-3.435973
Yes,60 or older,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,21-29,Guatemala,15.783471,-90.230759
Yes,21-29,Mexico,23.634501,-102.552784
Yes,40-49,Mexico,23.634501,-102.552784
Yes,30-39,Austria,47.516231,14.550072
Yes,21-29,Colombia,4.570868,-74.297333
Yes,40-49,Netherlands,52.132633,5.291266
Yes,40-49,Canada,56.130366,-106.346771
Yes,40-49,France,46.227638,2.213749
Yes,30-39,Netherlands,52.132633,5.291266
Yes,18-20,United States,37.09024,-95.712891
Yes,30-39,China,35.86166,104.195397
Yes,21-29,Germany,51.165691,10.451526
Yes,21-29,United States,37.09024,-95.712891
Yes,17 or younger,United States,37.09024,-95.712891
Yes,21-29,United States,37.09024,-95.712891
Yes,50-59,Australia,-25.274398,133.775136
Yes,21-29,Czech Republic,49.817492,15.472962
Yes,30-39,United States,37.09024,-95.712891
Yes,21-29,Australia,-25.274398,133.775136
Yes,30-39,Canada,56.130366,-106.346771
Yes,30-39,Australia,-25.274398,133.775136
Yes,30-39,Japan,36.204824,138.252924
Yes,40-49,Canada,56.130366,-106.346771
Yes,40-49,United States,37.09024,-95.712891
Yes,40-49,United States,37.09024,-95.712891
Yes,18-20,Afghanistan,33.93911,67.709953
Yes,21-29,United States,37.09024,-95.712891
Yes,21-29,Colombia,4.570868,-74.297333
Yes,30-39,Switzerland,46.818188,8.227512
Yes,21-29,Indonesia,-0.789275,113.921327
Yes,21-29,India,20.593684,78.96288
Yes,21-29,Romania,45.943161,24.96676
Yes,40-49,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,21-29,Mexico,23.634501,-102.552784
Yes,21-29,Colombia,4.570868,-74.297333
Yes,21-29,United States,37.09024,-95.712891
Yes,30-39,Canada,56.130366,-106.346771
Yes,40-49,Brazil,-14.235004,-51.92528
Yes,40-49,United States,37.09024,-95.712891
Yes,40-49,United States,37.09024,-95.712891
Yes,30-39,Australia,-25.274398,133.775136
Yes,21-29,United States,37.09024,-95.712891
Yes,21-29,Albania,41.153332,20.168331
Yes,21-29,United States,37.09024,-95.712891
Yes,17 or younger,United States,37.09024,-95.712891
Yes,21-29,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,40-49,United States,37.09024,-95.712891
Yes,40-49,Albania,41.153332,20.168331
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,Uruguay,-32.522779,-55.765835
Yes,21-29,Canada,56.130366,-106.346771
Yes,21-29,United States,37.09024,-95.712891
Yes,30-39,Germany,51.165691,10.451526
Yes,60 or older,United States,37.09024,-95.712891
Yes,40-49,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,21-29,China,35.86166,104.195397
Yes,21-29,India,20.593684,78.96288
Yes,21-29,China,35.86166,104.195397
Yes,30-39,Brazil,-14.235004,-51.92528
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,Australia,-25.274398,133.775136
Yes,21-29,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,40-49,United States,37.09024,-95.712891
Yes,21-29,Australia,-25.274398,133.775136
Yes,21-29,United States,37.09024,-95.712891
Yes,21-29,United States,37.09024,-95.712891
Yes,30-39,Brazil,-14.235004,-51.92528
Yes,30-39,Pakistan,30.375321,69.345116
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,Taiwan,23.69781,120.960515
Yes,21-29,United States,37.09024,-95.712891
Yes,18-20,United States,37.09024,-95.712891
Yes,18-20,India,20.593684,78.96288
Yes,30-39,Canada,56.130366,-106.346771
Yes,30-39,China,35.86166,104.195397
Yes,21-29,China,35.86166,104.195397
Yes,30-39,Sri Lanka,7.873054,80.771797
Yes,30-39,Argentina,-38.416097,-63.616672
Yes,21-29,India,20.593684,78.96288
Yes,40-49,Australia,-25.274398,133.775136
Yes,30-39,United States,37.09024,-95.712891
Yes,21-29,Russia,61.52401,105.318756
Yes,30-39,Taiwan,23.69781,120.960515
Yes,21-29,Indonesia,-0.789275,113.921327
Yes,30-39,China,35.86166,104.195397
Yes,50-59,United Kingdom,55.378051,-3.435973
Yes,30-39,Croatia,45.1,15.2
Yes,30-39,United States,37.09024,-95.712891
Yes,18-20,India,20.593684,78.96288
Yes,21-29,United States,37.09024,-95.712891
Yes,21-29,India,20.593684,78.96288
Yes,18-20,Colombia,4.570868,-74.297333
Yes,21-29,India,20.593684,78.96288
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,Greece,39.074208,21.824312
Yes,60 or older,India,20.593684,78.96288
Yes,40-49,Netherlands,52.132633,5.291266
Yes,30-39,India,20.593684,78.96288
Yes,21-29,India,20.593684,78.96288
Yes,21-29,United States,37.09024,-95.712891
Yes,18-20,India,20.593684,78.96288
Yes,60 or older,Norway,60.472024,8.468946
Yes,40-49,France,46.227638,2.213749
Yes,18-20,India,20.593684,78.96288
Yes,21-29,Colombia,4.570868,-74.297333
Yes,21-29,Canada,56.130366,-106.346771
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,Canada,56.130366,-106.346771
Yes,30-39,United States,37.09024,-95.712891
Yes,21-29,Kenya,-0.023559,37.906193
Yes,40-49,India,20.593684,78.96288
Yes,21-29,India,20.593684,78.96288
Yes,21-29,Sweden,60.128161,18.643501
Yes,30-39,Finland,61.92411,25.748151
Yes,21-29,China,35.86166,104.195397
Yes,40-49,Moldova,47.411631,28.369885
Yes,30-39,Austria,47.516231,14.550072
Yes,30-39,India,20.593684,78.96288
Yes,30-39,Finland,61.92411,25.748151
Yes,21-29,China,35.86166,104.195397
Yes,21-29,Poland,51.919438,19.145136
Yes,60 or older,United States,37.09024,-95.712891
Yes,18-20,India,20.593684,78.96288
Yes,21-29,India,20.593684,78.96288
Yes,30-39,Russia,61.52401,105.318756
Yes,17 or younger,United Kingdom,55.378051,-3.435973
Yes,40-49,India,20.593684,78.96288
Yes,30-39,India,20.593684,78.96288
Yes,30-39,Austria,47.516231,14.550072
Yes,30-39,Taiwan,23.69781,120.960515
Yes,21-29,Kenya,-0.023559,37.906193
Yes,21-29,Nepal,28.394857,84.124008
Yes,30-39,India,20.593684,78.96288
Yes,30-39,Ukraine,48.379433,31.16558
Yes,21-29,United States,37.09024,-95.712891
Yes,21-29,Japan,36.204824,138.252924
Yes,30-39,Ukraine,48.379433,31.16558
Yes,30-39,United States,37.09024,-95.712891
Yes,40-49,Spain,40.463667,-3.74922
Yes,40-49,Italy,41.87194,12.56738
Yes,40-49,Finland,61.92411,25.748151
Yes,30-39,United Kingdom,55.378051,-3.435973
Yes,21-29,Zimbabwe,-19.015438,29.154857
Yes,21-29,India,20.593684,78.96288
Yes,18-20,India,20.593684,78.96288
Yes,40-49,Serbia,44.016521,21.005859
Yes,21-29,India,20.593684,78.96288
Yes,21-29,India,20.593684,78.96288
Yes,30-39,United States,37.09024,-95.712891
Yes,21-29,United Arab Emirates,23.424076,53.847818
Yes,30-39,United States,37.09024,-95.712891
Yes,30-39,Russia,61.52401,105.318756
Yes,40-49,Finland,61.92411,25.748151
Yes,50-59,Australia,-25.274398,133.775136
Yes,18-20,United States,37.09024,-95.712891
Yes,21-29,Poland,51.919438,19.145136
Yes,40-49,United Kingdom,55.378051,-3.435973
Yes,50-59,United States,37.09024,-95.712891
Yes,40-49,France,46.227638,2.213749
Yes,30-39,United Kingdom,55.378051,-3.435973
Yes,21-29,Russia,61.52401,105.318756
Yes,50-59,Germany,51.165691,10.451526
Yes,40-49,Algeria,28.033886,1.659626
Yes,17 or younger,Bangladesh,23.684994,90.356331
Yes,21-29,China,35.86166,104.195397
Yes,30-39,Denmark,56.26392,9.501785
Yes,30-39,India,20.593684,78.96288
Yes,18-20,Azerbaijan,40.143105,47.576927
Yes,30-39,Belgium,50.503887,4.469936
Yes,30-39,Finland,61.92411,25.748151
Yes,40-49,France,46.227638,2.213749
Yes,21-29,Slovakia,48.669026,19.699024
Yes,30-39,France,46.227638,2.213749
Yes,30-39,United States,37.09024,-95.712891
Yes,21-29,China,35.86166,104.195397
Yes,21-29,India,20.593684,78.96288
Yes,40-49,"Bahamas, The",#N/A,#N/A
Yes,21-29,Japan,36.204824,138.252924
Yes,60 or older,United States,37.09024,-95.712891
Yes,21-29,France,46.227638,2.213749
Yes,21-29,Croatia,45.1,15.2
Yes,21-29,Spain,40.463667,-3.74922
Yes,30-39,Germany,51.165691,10.451526
Yes,30-39,United Kingdom,55.378051,-3.435973
Yes,18-20,India,20.593684,78.96288
Yes,30-39,Russia,61.52401,105.318756
Yes,30-39,India,20.593684,78.96288
Yes,21-29,Russia,61.52401,105.318756
Yes,21-29,India,20.593684,78.96288
Yes,40-49,Romania,45.943161,24.96676
Yes,30-39,United Kingdom,55.378051,-3.435973
Yes,21-29,Poland,51.919438,19.145136
Yes,21-29,Norway,60.472024,8.468946
Yes,50-59,Italy,41.87194,12.56738
Yes,30-39,Spain,40.463667,-3.74922
Yes,21-29,India,20.593684,78.96288
Yes,21-29,India,20.593684,78.96288
Yes,21-29,United Kingdom,55.378051,-3.435973
Yes,21-29,India,20.593684,78.96288
Yes,30-39,Japan,36.204824,138.252924
Yes,21-29,Iran,32.427908,53.688046
Yes,21-29,Russia,61.52401,105.318756
Yes,30-39,Germany,51.165691,10.451526
Yes,40-49,Spain,40.463667,-3.74922
Yes,21-29,China,35.86166,104.195397
Yes,21-29,Russia,61.52401,105.318756
Yes,30-39,Croatia,45.1,15.2
Yes,21-29,France,46.227638,2.213749
Yes,30-39,France,46.227638,2.213749
Yes,21-29,Russia,61.52401,105.318756
Yes,50-59,France,46.227638,2.213749
Yes,21-29,France,46.227638,2.213749
Yes,21-29,France,46.227638,2.213749
Yes,30-39,United Kingdom,55.378051,-3.435973
Yes,21-29,Cameroon,7.369722,12.354722
Yes,30-39,Belgium,50.503887,4.469936
Yes,21-29,China,35.86166,104.195397
Yes,50-59,United States,37.09024,-95.712891
Yes,30-39,Tanzania,-6.369028,34.888822
Yes,30-39,Croatia,45.1,15.2
Yes,21-29,China,35.86166,104.195397
Yes,21-29,France,46.227638,2.213749
Yes,30-39,Belarus,53.709807,27.953389
Yes,50-59,Germany,51.165691,10.451526
Yes,30-39,Slovakia,48.669026,19.699024
Yes,40-49,United Kingdom,55.378051,-3.435973
Yes,30-39,Belgium,50.503887,4.469936
Yes,21-29,United Kingdom,55.378051,-3.435973
Yes,21-29,United Kingdom,55.378051,-3.435973
Yes,50-59,United Kingdom,55.378051,-3.435973
Yes,30-39,Germany,51.165691,10.451526
Yes,21-29,United Arab Emirates,23.424076,53.847818
Yes,21-29,India,20.593684,78.96288
Yes,30-39,Poland,51.919438,19.145136
Yes,30-39,Germany,51.165691,10.451526
Yes,21-29,Pakistan,30.375321,69.345116
Yes,21-29,Israel,31.046051,34.851612
Yes,21-29,Lithuania,55.169438,23.881275
Yes,40-49,Israel,31.046051,34.851612
Yes,21-29,India,20.593684,78.96288
Yes,30-39,Czech Republic,49.817492,15.472962
Yes,21-29,Australia,-25.274398,133.775136
Yes,21-29,Ukraine,48.379433,31.16558
Yes,21-29,Bulgaria,42.733883,25.48583
Yes,30-39,Ireland,53.41291,-8.24389
Yes,30-39,Belarus,53.709807,27.953389
Yes,30-39,United Kingdom,55.378051,-3.435973
Yes,40-49,United Kingdom,55.378051,-3.435973
Yes,18-20,India,20.593684,78.96288
Yes,30-39,Lithuania,55.169438,23.881275
Yes,21-29,Belarus,53.709807,27.953389
Yes,21-29,United Kingdom,55.378051,-3.435973
Yes,21-29,Netherlands,52.132633,5.291266
Yes,60 or older,Belgium,50.503887,4.469936
Yes,21-29,Germany,51.165691,10.451526
Yes,21-29,France,46.227638,2.213749
Yes,30-39,India,20.593684,78.96288
Yes,21-29,China,35.86166,104.195397
Yes,40-49,Spain,40.463667,-3.74922
Yes,30-39,Ireland,53.41291,-8.24389
Yes,30-39,Spain,40.463667,-3.74922
Yes,21-29,Brazil,-14.235004,-51.92528
Yes,30-39,France,46.227638,2.213749
